"statcode","govname","statname","last_approve_date","memo"
"00100202","内閣府","企業のワーク・ライフ・バランスに関する調査","2013/09/25",NA
"00200544","総務省","サービス産業動向調査","2019/05/23","・R1.5.23承認時に年次調査を中止
・R6.1.30中止通知受理、令和６年12月分の調査（令和７年５月確報値公表予定）をもって中止"
"00200351","総務省","通信・放送産業動態調査","2018/02/20","・H21.2.10承認により、調査名を「通信産業動態調査」から変更
・H31.3.22中止通知受理"
"00350100","財務省","国家公務員共済組合年金受給者実態調査","‐","・複数の調査票を３年で一巡させる調査
・R2.1.9中止通知受理"
"00350410","財務省","たばこ小売販売業経営実態調査","2013/06/18","・H30.12.28中止通知受理"
"00350110","財務省","連合会を組織する共済組合における医療状況実態統計調査","2020/01/23","・R5.12.11中止通知受理"
"00450389","厚生労働省","医療給付実態調査","2022/10/21","・H23.6.29新規承認
・R6.3.13中止通知受理"
"00450385","厚生労働省","訪問看護療養費実態調査","2025/03/27","・H21統計法改正前は届出統計調査（訪問看護療養費実態調査）として実施
・R8.4.20中止通知受理"
"00500302","農林水産省","食品産業企業設備投資動向調査","2014/10/09","・H30.4.12中止通知受理。・H21.6.25承認により、調査名を「農林水産関連企業設備投資動向調査」から「食品産業企業設備投資動向調査」に変更"
"00500235","農林水産省","生鮮野菜価格動向調査","2013/03/11","・H25.3.11承認により、調査名を「生鮮食料品価格・販売動向調査」から「生鮮野菜価格動向調査」に変更
・平成28年12月調査までの期限付き承認
公表時期：平成29年４月末"
"00500500","農林水産省","土壌改良資材の農業用払出量調査","2023/01/10","・R3.2.18承認により、調査名を「土壌改良資材の生産量及び輸入量調査」から「土壌改良資材の農業用払出量調査」に変更。この際、調査周期を「１年」から「２年」に変更"
"00502001","水産庁","水産加工業経営実態調査","2016/06/08","・平成18年までおおむね５年周期で実施されてきたもので、H28.6.8承認は、統計法改正後初めての承認。今後も継続的な実施の可能性あり。
実施時期：平成28年７月下旬～９月下旬
公表時期：平成29年３月末"
"00550110","経済産業省","外資系企業動向調査","2018/12/18","・R2.11.10中止通知受理"
"00550580","経済産業省","機能性化学品動向調査","2010/05/24","・H29.4.17中止通知受理"
"00550500","経済産業省","経済産業省企業金融調査","2014/04/04","・H27.1.13中止通知受理"
"00550035","経済産業省","専門量販店販売統計調査","2013/07/29","・H27.6.18中止通知受理"
"00550560","経済産業省","鉄鋼生産内訳月報","2019/10/09","・鍛綱品・鋳綱品については、H31.3.29中止通知受理
・R4.10.12中止通知受理"
"00550050","経済産業省","特定サービス産業動態統計調査","2021/11/26","・R6.1.30中止通知受理"
"00550590","経済産業省","バイオ産業創造基礎調査","2010/02/15","・H23.8.18中止通知受理"
"00551040","資源エネルギー庁","石油設備調査","2020/06/18","・R4.2.24中止通知受理"
"00600500","国土交通省","企業の土地取得状況等に関する調査","2009/09/10","・H25.2.27承認により、法人土地・建物基本調査（基幹統計調査）に統合"
"00600150","国土交通省","建設業活動実態調査","2011/03/09","・R6.1.31中止通知受理"
"00650204","環境省","環境経済観測調査","2011/06/13","・R23.13中止通知受理"
"00650405","環境省","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","2020/09/18","・H28.2.4新規承認
・R7.12.4中止通知受理"
