"name","attribute","value"
"(別掲)1件当たり平均面積","statistic","mean"
"(参考)｢外れ値｣処理なしCI指数","statistic","index"
"0を除く平均保有台数","statistic","mean"
"0を除く平均利用個数","statistic","mean"
"0を除く平均利用回数","statistic","mean"
"0を除く平均利用時間","statistic","mean"
"0を除く平均利用通数","statistic","mean"
"0を除く平均加入回線数","statistic","mean"
"0を除く平均金額","statistic","mean"
"10歳以上の世帯員一人当たり総平均時間","basis","per_person"
"10歳以上の世帯員一人当たり総平均時間","statistic","mean"
"10歳以上推定人口","method","estimated"
"10～14歳以上推定人口","method","estimated"
"15歳以上人口及び平均年齢","statistic","mean"
"15歳以上就業者及び平均年齢","statistic","mean"
"15歳以上推定人口","method","estimated"
"15歳未満人口の割合","statistic","ratio"
"15～64歳人口の割合","statistic","ratio"
"1トン当り平均輸送キロ","statistic","mean"
"1世帯当たり1か月間の個人的な収入と支出","basis","per_household"
"1世帯当たり1か月間の収入と支出","basis","per_household"
"1世帯当たり1か月間の支出","basis","per_household"
"1世帯当たり1か月間の支出（年平均推定値）","basis","per_household"
"1世帯当たり1か月間の支出（年平均推定値）","method","estimated"
"1世帯当たり1か月間の支出（年平均推定値）","statistic","mean"
"1世帯当たり1日の支出","basis","per_household"
"1世帯当たり人員","basis","per_household"
"1世帯当たり子供の数","basis","per_household"
"1世帯当たり家賃","basis","per_household"
"1世帯当たり居住室の畳数","basis","per_household"
"1世帯当たり居住室数","basis","per_household"
"1世帯当たり平均土地所有面積","basis","per_household"
"1世帯当たり平均土地所有面積","statistic","mean"
"1世帯当たり平均土地資産額","basis","per_household"
"1世帯当たり平均土地資産額","statistic","mean"
"1世帯当たり平均所有面積","basis","per_household"
"1世帯当たり平均所有面積","statistic","mean"
"1世帯当たり年間収入額","basis","per_household"
"1世帯当たり所有戸数","basis","per_household"
"1世帯当たり持分","basis","per_household"
"1世帯当たり現住居以外の所有住宅の延べ面積","basis","per_household"
"1世帯当たり負債現在高","basis","per_household"
"1世帯当たり貯蓄現在高","basis","per_household"
"1世帯当たり資産現在高","basis","per_household"
"1世帯当たり資産現在高・負債現在高","basis","per_household"
"1事業所当たり事業従事者数","basis","per_establishment"
"1事業所当たり付加価値額","basis","per_establishment"
"1事業所当たり従業者数","basis","per_establishment"
"1人1時間当たりの平均工賃額","statistic","mean"
"1人平均工賃月収額","statistic","mean"
"1人当たり1か月間の個人的な収入と支出","basis","per_person"
"1人当たりの1日の平均就業時間数","basis","per_person"
"1人当たりの1日の平均就業時間数","statistic","mean"
"1人当たりの報酬額","basis","per_person"
"1人当たり保険料調定額","basis","per_person"
"1人当たり保険料調定額_均等割額(軽減後)","basis","per_person"
"1人当たり保険料調定額_所得割額(軽減後)","basis","per_person"
"1人当たり保険料調定額_計","basis","per_person"
"1人当たり保険料調定額_計／1人当たり所得額","basis","per_person"
"1人当たり保険料調定額の所得に対する割合","basis","per_person"
"1人当たり保険料調定額の所得に対する割合","statistic","ratio"
"1人当たり保険料調定額の課税標準額に対する割合","basis","per_person"
"1人当たり保険料調定額の課税標準額に対する割合","statistic","ratio"
"1人当たり医療費","basis","per_person"
"1人当たり医療費の伸び率（対前年同期比）","basis","per_person"
"1人当たり医療費の伸び率（対前年同期比）","statistic","rate"
"1人当たり医療費の伸び率（対前年度比）","basis","per_person"
"1人当たり医療費の伸び率（対前年度比）","comparison","fiscal_year_over_year"
"1人当たり医療費の伸び率（対前年度比）","statistic","rate"
"1人当たり居住室の畳数","basis","per_person"
"1人当たり平均介護サービス費用額","basis","per_person"
"1人当たり平均介護サービス費用額","statistic","mean"
"1人当たり年金収入額","basis","per_person"
"1人当たり所得額","basis","per_person"
"1人当たり旧ただし書方式による課税標準額","basis","per_person"
"1人当たり調定額","basis","per_person"
"1件当たり回数の伸び率（対前年同期比）","statistic","rate"
"1件当たり平均面積","statistic","mean"
"1件当たり日数の伸び率（対前年同月比）","statistic","rate"
"1件当たり日数の伸び率（対前年同期比）","statistic","rate"
"1企業当たりの所有面積","basis","per_company"
"1企業当たりの未利用地面積","basis","per_company"
"1企業当たり付加価値額","basis","per_company"
"1企業当たり売上（収入）金額","basis","per_company"
"1住宅当たり利用率","statistic","rate"
"1入院当たり医療費の伸び率（対前年同期比）","statistic","rate"
"1回当たり医療費の伸び率（対前年同期比）","statistic","rate"
"1施設当たり医療費の伸び率（休日数等の影響補正後・対前年同期比）","statistic","rate"
"1施設当たり医療費の伸び率（対前年同期比）","statistic","rate"
"1施設当たり医療費の伸び率（対前年度比）","comparison","fiscal_year_over_year"
"1施設当たり医療費の伸び率（対前年度比）","statistic","rate"
"1施設当たり受診延日数の伸び率（対前年同期比）","statistic","rate"
"1施設当たり受診延日数の伸び率（対前年度比）","comparison","fiscal_year_over_year"
"1施設当たり受診延日数の伸び率（対前年度比）","statistic","rate"
"1施設当たり推計新規入院件数","method","estimated"
"1施設当たり推計新規入院件数の伸び率（対前年同期比）","method","estimated"
"1施設当たり推計新規入院件数の伸び率（対前年同期比）","statistic","rate"
"1日当たり医療費の伸び率（対前年同月比）","statistic","rate"
"1日当たり医療費の伸び率（対前年同期比）","statistic","rate"
"1日当たり医療費の伸び率（対前年度比）","comparison","fiscal_year_over_year"
"1日当たり医療費の伸び率（対前年度比）","statistic","rate"
"1日当たり平均稼動時間","statistic","mean"
"1社当たりの平均研究開発費","statistic","mean"
"1経営体平均収獲物の販売金額","statistic","mean"
"1経営体平均従事者数","statistic","mean"
"1経営体平均漁獲物の販売金額","statistic","mean"
"1経営体平均養殖池数","statistic","mean"
"1経営体平均養殖面積","statistic","mean"
"2005年～2010年の人口増減数","statistic","change"
"2500g未満出生割合","statistic","ratio"
