"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003375560","00020151","表２　現在の居住地（都道府県別）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","-","201004-201103","2020-01-24"
"0003375561","00020151","表２　現在の居住地（居住市町村の人口規模別）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","-","201004-201103","2020-01-24"
"0003398547","00020151","表１　性別","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","-","201004-201103","2020-01-24"
"0003398548","00020151","表３　勤続年数","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","-","201004-201103","2020-01-24"
"0003398549","00020151","表６　給与法適用職員の退職時の職種","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","-","201004-201103","2020-01-24"
"0003398550","00020151","表７　給与法適用職員の退職時の職務の級","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","-","201004-201103","2020-01-24"
"0003398551","00020151","表８　満額の退職共済年金の支給開始年齢を知った時期","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","-","201004-201103","2020-01-24"
"0003375592","00020151","表13　働きたいと思った年齢","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","２　退職時の就労希望の状況","-","201004-201103","2020-01-24"
"0003398552","00020151","表９　退職時の就労希望の有無","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","２　退職時の就労希望の状況","-","201004-201103","2020-01-24"
"0003398553","00020151","表10　退職後も働きたいと思った理由（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","２　退職時の就労希望の状況","-","201004-201103","2020-01-24"
"0003398554","00020151","表12　短時間勤務で働きたいと思った理由","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","２　退職時の就労希望の状況","-","201004-201103","2020-01-24"
"0003398555","00020151","表14　もっとも働きたいと思った就労先","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","２　退職時の就労希望の状況","-","201004-201103","2020-01-24"
"0003398556","00020151","表15　現在の就労の有無","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","３　現在の就労状況","-","201004-201103","2020-01-24"
