"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003365113","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201810-201812","2025-05-27"
"0003365231","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201807-201809","2025-05-27"
"0003365232","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201804-201806","2025-05-27"
"0003365233","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201801-201803","2025-05-27"
"0003365238","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201710-201712","2025-05-27"
"0003365239","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201707-201709","2025-05-27"
"0003365240","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201704-201706","2025-05-27"
"0003365241","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201701-201703","2025-05-27"
"0003365246","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201610-201612","2025-05-27"
"0003365247","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201607-201609","2025-05-27"
"0003365248","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201604-201606","2025-05-27"
"0003365249","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201601-201603","2025-05-27"
"0003365394","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201510-201512","2025-05-27"
"0003365395","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201507-201509","2025-05-27"
"0003365396","00100409","国内総生産（支出側）及び各需要項目 名目原系列　実額（1994年1Q～）",NA,"四半期別ＧＤＰ速報","過去の値","1次速報値",NA,"四半期","201504-201506","2025-05-27"
