"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003166756","00200356","問１　世帯構成（１）世帯数 世帯年収","通信利用動向調査","世帯編","年次",0,"2019-01-28"
"0003166757","00200356","問１　世帯構成（２）世帯主の年齢別 都市区分","通信利用動向調査","世帯編","年次",0,"2019-02-04"
"0003166758","00200356","問１　世帯構成（２）世帯主の年齢別 世帯主の職業","通信利用動向調査","世帯編","年次",0,"2019-02-04"
"0003166759","00200356","問１　世帯構成（３）世帯主の性別 世帯年収","通信利用動向調査","世帯編","年次",0,"2019-01-28"
"0003166777","00200356","問１　世帯構成（１）世帯数 世帯人員","通信利用動向調査","世帯編","年次",0,"2019-01-28"
"0003166778","00200356","問１　世帯構成（２）世帯主の年齢別 世帯主年齢","通信利用動向調査","世帯編","年次",0,"2019-02-04"
"0003166779","00200356","問１　世帯構成（２）世帯主の年齢別 世帯主年齢60歳以上","通信利用動向調査","世帯編","年次",0,"2019-02-04"
"0003166796","00200356","問１　世帯構成（１）世帯数 都市区分","通信利用動向調査","世帯編","年次",0,"2019-01-28"
"0003166797","00200356","問１　世帯構成（１）世帯数 世帯主の職業","通信利用動向調査","世帯編","年次",0,"2019-01-28"
"0003166798","00200356","問１　世帯構成（２）世帯主の年齢別 世帯年収","通信利用動向調査","世帯編","年次",0,"2019-02-04"
"0003166799","00200356","問１　世帯構成（３）世帯主の性別 都市区分","通信利用動向調査","世帯編","年次",0,"2019-01-28"
"0003166816","00200356","問１　世帯構成（１）世帯数 世帯主年齢","通信利用動向調査","世帯編","年次",0,"2019-02-04"
"0003166817","00200356","問１　世帯構成（１）世帯数 世帯主年齢60歳以上","通信利用動向調査","世帯編","年次",0,"2019-02-04"
