"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0000081942","00200522","001","居住世帯の有無（８）・建物の種類（５）、住宅数，住宅以外で人が居住する建物数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081943","00200522","00301","住宅の種類（３）、世帯の種類（６）、住宅数，世帯数，世帯人員、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081944","00200522","00302","住宅の所有の関係（９）、世帯の種類（６）、住宅数，世帯数，世帯人員、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081945","00200522","00303","住宅以外の建物の種類（５）、世帯の種類（６）、住宅以外で人が居住する建物数，世帯数，世帯人員、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081946","00200522","00304","住宅以外の建物の所有の関係（２）、世帯の種類（６）、住宅以外で人が居住する建物数，世帯数，世帯人員、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081947","00200522","005","住宅の種類（３）、建築の時期（１２）、住宅の所有の関係（８）、住宅数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081948","00200522","006","住宅の種類（３）、建築の時期（１２）、建物の構造（５）、住宅数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081949","00200522","008","建物の構造（５）、建築の時期（１２）、住宅の建て方（４），建物の階数（９）、住宅数、大都市圏（７）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081950","00200522","009","建物の構造（５）、建築の時期（１２）、住宅の建て方（４），建物の階数（５）、住宅数、都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081951","00200522","011","住宅の所有の関係（６）、建物の構造（３）、建築の時期（７）、住宅の建て方（４），建物の階数（９）、専用住宅数、大都市圏（７）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081952","00200522","012","住宅の所有の関係（５）、建物の構造（２）、建築の時期（７）、住宅の建て方（４），建物の階数（４）、専用住宅数、都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081953","00200522","01401","住宅の種類（３）、住宅の所有の関係（８）、住宅数，世帯数，世帯人員，１住宅当たり居住室数，居住室の畳数，延べ面積，１人当たり居住室の畳数，１室当たり人員、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081954","00200522","01402","建築の時期（１２）、住宅数，世帯数，世帯人員，１住宅当たり居住室数，居住室の畳数，延べ面積，１人当たり居住室の畳数，１室当たり人員、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081955","00200522","015","住宅の種類（３）、住宅の所有の関係（５）、住宅の建て方（４）、住宅数，世帯数，世帯人員，１住宅当たり居住室数，居住室の畳数，延べ面積，１人当たり居住室の畳数，１室当たり人員、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081956","00200522","017","住宅の種類（３）、住宅の所有の関係（８）、居住室数（１０）、居住室の畳数（１３）、住宅数、大都市圏（７）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081957","00200522","018","住宅の所有の関係（２Ｂ）、居住室数（１０）、居住室の畳数（１３）、住宅数、都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081958","00200522","021","住宅の種類（３）、住宅の所有の関係（５）、住宅の建て方（４）、建物の構造（２）、住宅の延べ面積（６）、住宅数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081959","00200522","022","住宅の種類（３）、住宅の所有の関係（８）、住宅の延べ面積（１８）、建築の時期（９）、住宅数、大都市圏（７）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081960","00200522","023","住宅の種類（３）、住宅の所有の関係（６Ｅ）、住宅の延べ面積（６）、建築の時期（９）、住宅数、都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081961","00200522","024","住宅の種類（３）、住宅の延べ面積（１４）、居住室の広さの延べ面積に対する割合（９）、住宅数、大都市圏（７）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081962","00200522","025","住宅の種類（３）、住宅の建て方（４）、建物の構造（２）、建築の時期（７）、住宅の延べ面積（６）、住宅数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081963","00200522","026","住宅の種類（３）、建物の構造（２）、住宅の建て方（２Ｄ）、地下室の床面積（２）、住宅の延べ面積（６）、地下室のある住宅数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081964","00200522","028","住宅の種類（３）、住宅の所有の関係（９Ｃ）、建築の時期（７）、台所の数（２），台所の型（５）、住宅数、大都市圏（７）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081965","00200522","029","住宅の種類（３）、住宅の所有の関係（２Ｃ）、建築の時期（７）、台所の数（２），台所の型（５）、住宅数、都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081966","00200522","03101","住宅の種類（３）、住宅の設備状況（２１）、住宅数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081967","00200522","03102","住宅の所有の関係（８）、住宅の設備状況（２１）、住宅数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081968","00200522","03103","住宅の建て方（４）、建物の構造（２Ｂ）、住宅の設備状況（２１）、住宅数（エレベータ－のある共同住宅数，高齢者対応型共同住宅数－特掲）、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081969","00200522","03104","建築の時期（１２）、住宅の設備状況（２１）、住宅数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
"0000081970","00200522","033","住宅の所有の関係（７）、建築の時期（７）、住宅の設備状況（２１）、住宅数、大都市圏（７）・都市圏（４）・３大都市圏の距離帯（３）","平成10年住宅・土地統計調査","大都市圏編",NA,"-",199810,"2024-04-30"
