"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0000150001","00200524","001","年齢各歳（９２），男女別人口数及び性比－総人口，日本人人口　　　　，全国","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150002","00200524","002","年齢５歳階級（４６），男女別（３），年（５），人口数及び割合－総人口（各年１０月１日現在），全国","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150003","00200524","003","人口の増加要因（２９），男女別人口数－総人口，日本人人口，外国人人口，全国","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150004","00200524","004","年齢各歳（９３），男女別（３），人口・死亡者数・入国超過数及び国籍異動による純増－総人口，日本人人口，全国","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150005","00200524","005","年齢５歳階級（２５），男女別（３），死亡者数－日本人，外国人（平成２年１０月－３年９月），全国","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150006","00200524","006","年齢５歳階級（２１），日本人・外国人（２），男女別出入国者数，全国","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150007","00200524","007","男女別（３），人口数及び性比－総人口，日本人人口，全国・都道府県","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150008","00200524","008","男女別（３），年（５），人口数－総人口（各年１０月１日現在），全国・都道府県","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150009","00200524","009","年（５），人口の割合－総人口（各年１０月１日現在），全国・都道府県","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150010","00200524","01001","男女別（３），人口数・自然増加及び社会増加－総人口，全国・都道府県","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150011","00200524","01002","男女別（３），人口数・自然増加及び社会増加－日本人人口，全国・都道府県","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150012","00200524","011","男女別（３），出生児数及び死亡者数－日本人，全国・都道府県","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
"0000150013","00200524","012","男女別（３），都道府県間転出入者数－日本人，全国・都道府県","人口推計","平成3年10月1日現在推計人口",NA,NA,"-",199110,"2023-06-08"
