"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003179100","00200544","00102","事業活動の産業（中分類）別売上高【2013年1月～2023年12月】※2022年12月までは調整値","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"-",,"2024-03-29"
"0004012600","00200544","00103","＜時系列＞事業活動の産業（中分類）別売上高（月次）【2013年1月～】※2022年12月までは調整値","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"月次",,"2025-05-26"
"0004012602","00200544","00104","＜時系列＞事業活動の産業（中分類）別売上高（四半期）【2013年1-3月期～】※2022年10-12月期までは調整値","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"四半期",,"2025-05-26"
"0004012604","00200544","00105","＜時系列＞事業活動の産業（中分類）別売上高（年次）【2013年～】※2022年までは調整値","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"年次",,"2025-05-26"
"0003179101","00200544","00202","事業所・企業等の産業（中分類）別事業従事者数【2013年1月～2023年12月】※2022年12月までは調整値","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"-",,"2024-03-29"
"0004012601","00200544","00203","＜時系列＞事業所・企業等の産業（中分類）別事業従事者数（月次）【2013年1月～】※2022年12月までは調整値","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"月次",,"2025-05-26"
"0004012603","00200544","00204","＜時系列＞事業所・企業等の産業（中分類）別事業従事者数（四半期）【2013年1-3月期～】※2022年10-12月期までは調整値","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"四半期",,"2025-05-26"
"0004012605","00200544","00205","＜時系列＞事業所・企業等の産業（中分類）別事業従事者数（年次）【2013年～】※2022年までは調整値","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"年次",,"2025-05-26"
"0003085562","00200544","00401","事業所・企業等の産業（中分類）別売上高、従業上の地位別事業従事者数（月次）【2013年1月～】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"月次",,"2025-05-26"
"0003085612","00200544","00402","事業所・企業等の産業（中分類）別売上高、従業上の地位別事業従事者数（四半期）【2013年1-3月期～】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"四半期",,"2025-05-26"
"0003090498","00200544","00403","事業所・企業等の産業（中分類）別売上高、従業上の地位別事業従事者数（年）【2013年～】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"年次",,"2025-05-26"
"0003191203","00200544","00405","事業活動の産業（中分類）別売上高（月次）【2013年1月～】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"月次",,"2025-05-26"
"0003191286","00200544","00406","事業活動の産業（中分類）別売上高（四半期）【2013年1-3月期～】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"四半期",,"2025-05-26"
"0003085489","00200544","00501","事業活動の産業（中分類）別需要の状況【2013年1月～2016年12月】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"月次",,"2024-02-29"
"0003085521","00200544","00601","事業活動の産業（中分類），事業所・企業等の産業（中分類）別売上高（月次）【2013年1月～12月】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"月次",,"2024-02-29"
"0003085532","00200544","00602","事業活動の産業（中分類），事業所・企業等の産業（中分類）別売上高（四半期）【2013年1-3月期～10-12月期】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"四半期",,"2024-02-29"
"0003094573","00200544","00701","事業活動の産業（一部中分類），事業所・企業等の産業（一部中分類）別売上高（月次）【2013年1月～2015年3月】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"月次",,"2024-02-29"
"0003094615","00200544","00702","事業活動の産業（一部中分類），事業所・企業等の産業（一部中分類）別売上高（四半期）【2013年1-3月期～2015年1-3月期】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"四半期",,"2024-02-29"
"0003094630","00200544","00703","事業活動の産業（一部中分類），事業所・企業等の産業（一部中分類）別売上高（年次）【2013年～2014年】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"年次",,"2024-02-29"
"0003109128","00200544","00804","事業活動の産業（中分類）、事業所・企業等の事業従事者規模別売上高（年次）【2013年～】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"年次",,"2024-11-08"
"0003109117","00200544","00904","事業活動の産業（中分類），経営組織別売上高（年次）【2013年～2018年】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"年次",,"2024-02-29"
"0003109097","00200544","01004","事業活動の産業（中分類），資本金階級別売上高〔「外国の会社」を除く会社について〕（年次）【2013年～2018年】","サービス産業動向調査","2013年1月から","月次調査",NA,NA,"年次",,"2024-02-29"
"0003033222","00200544","00100","産業（中分類）別売上高（収入額）および事業従事者数【2008年10月～2012年12月まで】","サービス産業動向調査","2012年12月まで",NA,NA,NA,"-",,"2024-02-29"
"0003067917","00200544","00200","産業（一部小分類）別売上高（収入額）・産業（一部小分類），従業上の地位別事業従事者数【2009年～2012年まで】","サービス産業動向調査","2012年12月まで",NA,NA,NA,"-",,"2024-02-29"
"0003067918","00200544","00300","産業（中分類），事業従事者規模・経営組織・資本金階級別売上高（収入額）【2009年～2012年まで】","サービス産業動向調査","2012年12月まで",NA,NA,NA,"-",,"2024-02-29"
"0003102823","00200544","00100","事業活動の産業（詳細分類）別年間売上高（総数，１事業従事者当たり）及び従業上の地位別事業従事者数","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102824","00200544","00201","事業活動の産業（中分類），事業従事者規模別年間売上高","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102865","00200544","00202","事業活動の産業（中分類），事業従事者規模別事業従事者数","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102885","00200544","00301","事業活動の産業（中分類），経営組織別年間売上高","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102866","00200544","00302","事業活動の産業（中分類），経営組織別事業従事者数","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102886","00200544","00401","事業活動の産業（中分類），資本金階級別年間売上高〔「外国の会社」を除く会社について〕","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102860","00200544","00402","事業活動の産業（中分類），資本金階級別事業従事者数〔「外国の会社」を除く会社について〕","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102812","00200544","00500","事業活動の産業（中分類）別年間収入計（総数，１事業従事者当たり）","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102867","00200544","00600","事業所・企業等の産業（詳細分類）別年間売上高（総数，１事業従事者当たり）及び従業上の地位別事業従事者数","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102830","00200544","00701","事業所・企業等の産業（中分類），事業従事者規模別年間売上高","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
"0003102861","00200544","00702","事業所・企業等の産業（中分類），事業従事者規模別事業従事者数","サービス産業動向調査","2013年1月から","拡大調査（年次調査）","確報","2013年","年次",,"2024-02-29"
