"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003120758","00200603","取引基本表 生産者価格評価表 32部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120759","00200603","取引基本表 購入者価格評価表 32部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120797","00200603","取引基本表 生産者価格評価表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120798","00200603","投入係数表 投入係数表 32部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120799","00200603","逆行列係数表 逆行列係数表 94部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120800","00200603","その他の係数表最終需要項目別生産誘発額等諸表 最終需要項目別生産誘発係数表 32部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120801","00200603","その他の係数表最終需要項目別粗付加価値誘発額等諸表 最終需要項目別粗付加価値誘発額表 32部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120802","00200603","その他の係数表最終需要項目別粗付加価値誘発額等諸表 最終需要項目別粗付加価値誘発依存度表 32部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120803","00200603","その他の係数表最終需要項目別輸入誘発額等諸表 最終需要項目別輸入誘発係数表 32部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120808","00200603","取引基本表 生産者価格評価表 94部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120809","00200603","取引基本表 購入者価格評価表 94部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120816","00200603","取引基本表 購入者価格評価表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120817","00200603","投入係数表 投入係数表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120818","00200603","逆行列係数表 逆行列係数表 32部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120819","00200603","その他の係数表最終需要項目別生産誘発額等諸表 最終需要項目別生産誘発係数表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120820","00200603","その他の係数表最終需要項目別粗付加価値誘発額等諸表 最終需要項目別粗付加価値誘発額表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120821","00200603","その他の係数表最終需要項目別粗付加価値誘発額等諸表 最終需要項目別粗付加価値誘発依存度表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120822","00200603","その他の係数表最終需要項目別輸入誘発額等諸表 最終需要項目別輸入誘発係数表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120823","00200603","その他の係数表輸入係数表等 輸入係数、輸入品投入係数、総合輸入係数及び総合粗付加価値係数表 32部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120828","00200603","投入係数表 投入係数表 94部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120829","00200603","その他の係数表最終需要項目別生産誘発額等諸表 最終需要項目別生産誘発額表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120830","00200603","その他の係数表最終需要項目別生産誘発額等諸表 最終需要項目別生産誘発依存度表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120831","00200603","その他の係数表最終需要項目別粗付加価値誘発額等諸表 最終需要項目別粗付加価値誘発係数表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120832","00200603","その他の係数表最終需要項目別輸入誘発額等諸表 最終需要項目別輸入誘発額表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120833","00200603","その他の係数表最終需要項目別輸入誘発額等諸表 最終需要項目別輸入誘発依存度表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
"0003120848","00200603","逆行列係数表 逆行列係数表 13部門表",NA,"平成7年（1995年）産業連関表（確報）","-",,"2016-08-03"
