"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003269261","00250005","矯正関係 2 受刑者の入出所事由別人員","矯正統計","月次",,"2025-05-28"
"0003269961","00250005","被収容者 年末在所受刑者の罪名","矯正統計","年次",,"2024-09-30"
"0003270020","00250005","被収容者 年末在所受刑者の刑名・刑期","矯正統計","年次",,"2024-09-30"
"0003270021","00250005","被収容者 年末在所受刑者の年齢","矯正統計","年次",,"2024-09-27"
"0003270022","00250005","被収容者 年末在所受刑者の累犯・非累犯","矯正統計","年次",,"2024-09-27"
"0003270060","00250005","被収容者 年末在所外国人被収容者の国籍(総数)/(来日外国人)","矯正統計","年次",,"2024-09-27"
"0003271607","00250005","被収容者 被収容者別 入出所人員","矯正統計","年次",,"2024-10-01"
"0003272086","00250005","新受刑者 新受刑者の罪名別 刑名・刑期","矯正統計","年次",,"2024-10-01"
"0003272087","00250005","新受刑者 新受刑者の罪名別 刑名・刑期(不定期刑)","矯正統計","年次",,"2024-10-01"
"0003272088","00250005","新受刑者 新受刑者の罪名別 年齢","矯正統計","年次",,"2024-10-01"
"0003272089","00250005","新受刑者 新受刑者の罪名別 入所度数","矯正統計","年次",,"2024-10-01"
"0003272090","00250005","新受刑者 新受刑者の罪名別 累犯・非累犯","矯正統計","年次",,"2024-10-01"
"0003272092","00250005","新受刑者 新受刑者の刑名・刑期別 年齢","矯正統計","年次",,"2024-10-01"
"0003272093","00250005","新受刑者 新受刑者の刑名・刑期別 入所度数","矯正統計","年次",,"2024-10-01"
"0003272098","00250005","新受刑者 新受刑者の刑名・刑期別 累犯・非累犯","矯正統計","年次",,"2024-10-01"
"0003272099","00250005","新受刑者 新受刑者の年齢別 入所度数","矯正統計","年次",,"2024-10-01"
"0003272100","00250005","新受刑者 新受刑者の年齢別 累犯・非累犯","矯正統計","年次",,"2024-10-01"
"0003272101","00250005","新受刑者 新受刑者の累犯・非累犯別 入所度数","矯正統計","年次",,"2024-10-01"
"0003272102","00250005","新受刑者 新受刑者の罪名別 犯時の身上","矯正統計","年次",,"2024-10-01"
"0003272103","00250005","新受刑者 新受刑者の入所度数別 保護処分歴","矯正統計","年次",,"2024-10-01"
"0003272104","00250005","新受刑者 新受刑者中初入者の罪名別 保護処分歴","矯正統計","年次",,"2024-10-02"
"0003272105","00250005","新受刑者 新受刑者中初入者の罪名別 刑の執行猶予歴","矯正統計","年次",,"2024-10-02"
"0003272538","00250005","新受刑者 新受刑者の罪名別 居住地(都道府県別等)","矯正統計","年次",,"2024-10-02"
"0003272539","00250005","新受刑者 新受刑者の罪名別 犯時職業(H22以前)","矯正統計","年次",,"2024-09-27"
"0003272540","00250005","新受刑者 新受刑者の罪名別 犯時職業(H23以降)","矯正統計","年次",,"2024-10-04"
"0003272541","00250005","新受刑者 新受刑者の罪名別 配偶関係","矯正統計","年次",,"2024-10-04"
"0003272542","00250005","新受刑者 新受刑者の罪名別 教育程度","矯正統計","年次",,"2024-10-04"
"0003272543","00250005","新受刑者 新受刑者の罪名別 属性及び犯罪傾向の進度","矯正統計","年次",,"2024-10-04"
"0003272544","00250005","新受刑者 新受刑者の罪名別 能力検査値","矯正統計","年次",,"2024-10-04"
"0003272545","00250005","新受刑者 新受刑者の罪名別 精神診断","矯正統計","年次",,"2024-10-04"
"0003272546","00250005","新受刑者 新受刑者の入所度数別 精神診断","矯正統計","年次",,"2024-10-04"
"0003272880","00250005","新受刑者 新受刑者の罪名別 国籍(総数)/(来日外国人)","矯正統計","年次",,"2024-10-04"
"0003272881","00250005","新受刑者 新受刑者中外国人受刑者の罪名別 年齢(総数)/(来日外国人)","矯正統計","年次",,"2024-10-04"
"0003272882","00250005","新受刑者 新受刑者中外国人受刑者の罪名別 入所度数(総数)/(来日外国人)","矯正統計","年次",,"2024-10-04"
"0003272883","00250005","新受刑者 新受刑者中外国人受刑者の罪名別 累犯・非累犯(総数)/(来日外国人)","矯正統計","年次",,"2024-10-04"
"0003272884","00250005","新受刑者 新受刑者中外国人受刑者の罪名別 属性及び犯罪傾向の進度(総数)/(来日外国人)","矯正統計","年次",,"2024-10-04"
"0003272933","00250005","新受刑者 新受刑者中暴力団加入者の罪名別 刑名・刑期","矯正統計","年次",,"2024-10-04"
"0003272934","00250005","新受刑者 新受刑者中暴力団加入者の罪名別 組織内の地位","矯正統計","年次",,"2024-10-04"
"0003272935","00250005","新受刑者 新受刑者中暴力団加入者の入所度数別 年齢","矯正統計","年次",,"2024-10-04"
"0003272936","00250005","新受刑者 新受刑者中暴力団加入者の少年院送致歴別 年齢","矯正統計","年次",,"2024-10-04"
"0003272937","00250005","新受刑者 新受刑者中暴力団加入者の累犯・非累犯別 年齢","矯正統計","年次",,"2024-10-04"
"0003272938","00250005","新受刑者 新受刑者中暴力団加入者の犯時の身上","矯正統計","年次",,"2024-10-04"
"0003272939","00250005","新受刑者 新受刑者中暴力団加入者の国籍","矯正統計","年次",,"2024-10-04"
"0003272940","00250005","新受刑者 新受刑者中暴力団加入者の居住地(都道府県別等)","矯正統計","年次",,"2024-10-04"
"0003272941","00250005","新受刑者 新受刑者中暴力団加入者の配偶関係","矯正統計","年次",,"2024-10-04"
"0003272942","00250005","新受刑者 新受刑者中暴力団加入者の教育程度","矯正統計","年次",,"2024-10-07"
"0003272943","00250005","新受刑者 新受刑者中暴力団加入者の前刑出所後再犯までの期間","矯正統計","年次",,"2024-10-04"
"0003273292","00250005","再入受刑者 再入受刑者の前刑出所事由別 再犯期間","矯正統計","年次",,"2024-10-10"
"0003273293","00250005","再入受刑者 再入受刑者の入所度数別 再犯期間","矯正統計","年次",,"2024-10-09"
"0003273294","00250005","再入受刑者 再入受刑者の前刑罪名別 再犯期間","矯正統計","年次",,"2024-10-09"
"0003273295","00250005","再入受刑者 再入受刑者の前刑刑名・刑期別 再犯期間","矯正統計","年次",,"2024-10-09"
"0003273296","00250005","再入受刑者 再入受刑者の前刑出所時制限区分・処遇階級別 再犯期間","矯正統計","年次",,"2024-10-09"
