"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003290345","00300100","海外在留邦人数調査統計表(国（地域）名・在外公館名)　年齢別","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003290346","00300100","海外在留邦人数調査統計表(国（地域）名・在外公館名)　国(地域)順位、全体の割合、地域割合、自国割合","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003290347","00300100","海外在留邦人数調査統計表(国（地域）名・在外公館名)　在留邦人総数、永住者、長期滞在者","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003290348","00300100","海外在留邦人数調査統計表(国（地域）名・在外公館名)　職業別","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293569","00300100","海外在留邦人数調査統計表(地域名)　年齢別","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293570","00300100","海外在留邦人数調査統計表(地域名)　国(地域)順位、全体の割合、地域割合、自国割合","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293571","00300100","海外在留邦人数調査統計表(地域名)　在留邦人総数、永住者、長期滞在者","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293572","00300100","海外在留邦人数調査統計表(地域名)　職業別","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293575","00300100","進出日系企業数一覧(国（地域）名・在外公館名)　国(地域)順位、全体の割合、地域割合、自国割合","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293576","00300100","進出日系企業数一覧(国（地域）名・在外公館名)　日系企業総数、本邦企業、現地法人企業、区分不明","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293577","00300100","進出日系企業数一覧(国（地域）名・在外公館名)　職業別","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293600","00300100","進出日系企業数一覧(地域名)　国(地域)順位、全体の割合、地域割合、自国割合","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293601","00300100","進出日系企業数一覧(地域名)　日系企業総数、本邦企業、現地法人企業、区分不明","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
"0003293602","00300100","進出日系企業数一覧(地域名)　職業別","海外在留邦人数調査統計","年次","201601-201612","2019-03-16"
