"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003228116","00350300","確定 品別国別表 (輸出 1-12月：確定)　2001年～2005年","貿易統計_全国分","品別国別表","輸出","年次","200501-200512","2025-04-26"
"0003228117","00350300","確定 品別国別表 (輸出 1-12月：確定)　2006年～2010年","貿易統計_全国分","品別国別表","輸出","年次","201001-201012","2025-04-26"
"0003228118","00350300","確定 品別国別表 (輸出 1-12月：確定)　2011年～2015年","貿易統計_全国分","品別国別表","輸出","年次","201501-201512","2025-04-26"
"0003258343","00350300","確定 品別国別表 (輸出 1-12月：確定)　1988年～1990年","貿易統計_全国分","品別国別表","輸出","年次","199001-199012","2025-04-26"
"0003258344","00350300","確定 品別国別表 (輸出 1-12月：確定)　1991年～1995年","貿易統計_全国分","品別国別表","輸出","年次","199501-199512","2025-04-26"
"0003258345","00350300","確定 品別国別表 (輸出 1-12月：確定)　1996年～2000年","貿易統計_全国分","品別国別表","輸出","年次","200001-200012","2025-04-26"
"0003313965","00350300","確定 品別国別表 (輸出 1-12月：確定)　2016年～2020年","貿易統計_全国分","品別国別表","輸出","年次","202001-202012","2025-04-26"
"0003425293","00350300","確報 品別国別表 輸出(1-12月：確定) 2021年～2023年 , (1-12月：確々報) 2024年 , (1-4月：確報) 2025年","貿易統計_全国分","品別国別表","輸出","年次","202401-202412","2025-05-29"
"0003228183","00350300","確定 品別国別表 (輸入 1-12月：確定)　2001年～2005年","貿易統計_全国分","品別国別表","輸入","年次","200501-200512","2025-02-27"
"0003228184","00350300","確定 品別国別表 (輸入 1-12月：確定)　2006年～2010年","貿易統計_全国分","品別国別表","輸入","年次","201001-201012","2025-02-27"
"0003228185","00350300","確定 品別国別表 (輸入 1-12月：確定)　2011年～2015年","貿易統計_全国分","品別国別表","輸入","年次","201501-201512","2025-02-27"
