"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003200132","00350610","1-1","BSI項目 貴社・国内の景況判断ＢＳＩ：総括表(構成比・BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003200145","00350610","1-1","計数項目 当年度売上高・経常利益：総括表(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003326000","00350610","1-1","BSI項目 貴社・国内の景況判断ＢＳＩ：総括表(構成比・BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003326042","00350610","1-1","計数項目 当年度売上高・経常利益：総括表(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003200105","00350610","1-1-2","計数項目 翌年度売上高・経常利益：総括表(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003326160","00350610","1-1-2","計数項目 翌年度売上高・経常利益：総括表(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003200165","00350610","1-2","計数項目 当年度売上高・経常利益：業種別(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003200180","00350610","1-2","BSI項目 貴社・国内の景況判断ＢＳＩ：業種別(BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003325983","00350610","1-2","BSI項目 貴社・国内の景況判断ＢＳＩ：業種別(BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003326060","00350610","1-2","計数項目 当年度売上高・経常利益：業種別(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
