"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003004275","00400202","第4表　小支出項目別学校教育費 1　全学校",NA,"地方教育費調査","平成１８年度","地方教育費調査(平成１７会計年度)","全国集計","学校教育費","-",,"2019-12-24"
"0003004383","00400202","第4表　小支出項目別学校教育費 2　幼稚園",NA,"地方教育費調査","平成１８年度","地方教育費調査(平成１７会計年度)","全国集計","学校教育費","-",,"2019-12-24"
"0003004409","00400202","第4表　小支出項目別学校教育費 3　小学校",NA,"地方教育費調査","平成１８年度","地方教育費調査(平成１７会計年度)","全国集計","学校教育費","-",,"2019-12-24"
"0003085816","00400202","第１表　地方教育費及び生涯学習関連費（知事部局所管施設分）総額に関する総括表","1","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","総括","-",,"2019-12-24"
"0003090291","00400202","第２表　教育分野別教育費及び生涯学習関連費（知事部局所管施設分）の総額","2","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","総教育費","-",,"2019-12-24"
"0003090332","00400202","第３表　教育分野別在学者・国民一人当たり経費（年額）","3","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","総教育費","-",,"2019-12-24"
"0003085461","00400202","第５表　小支出項目別学校教育費の構成比（学校種類別）","5","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","学校教育費","-",,"2019-12-24"
"0003085515","00400202","第６表　設置者別，中支出項目別高等学校教育費","6","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","学校教育費","-",,"2019-12-24"
"0003085504","00400202","第７表　財源別社会教育費・教育行政費","7","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","社会教育費・教育行政費","-",,"2019-12-24"
"0003085484","00400202","第８表　支出項目別社会教育費・教育行政費","8","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","社会教育費・教育行政費","-",,"2019-12-24"
"0003085505","00400202","第１１表　教育に係る収入（教育施設別）","11","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","教育収入","-",,"2019-12-24"
"0003090290","00400202","第１２表　在学者数・学級数及び人口数","12","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","補助的事項","-",,"2019-12-25"
"0003086990","00400202","第１６表　総教育費（財源別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","財源別教育費","-",,"2019-12-24"
"0003087010","00400202","第１７表　学校教育費（財源別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","財源別教育費","-",,"2019-12-24"
"0003087035","00400202","第１８表　社会教育費（財源別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","財源別教育費","-",,"2019-12-24"
"0003087051","00400202","第１９表　教育行政費（財源別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","財源別教育費","-",,"2019-12-24"
"0003087828","00400202","第２２表　小支出項目別学校教育費",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","支出項目別教育費","-",,"2019-12-24"
"0003087829","00400202","第２５表　教育行政費（支出項目別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","支出項目別教育費","-",,"2019-12-24"
"0003087848","00400202","第２８表　設置者別教育行政費（支出項目別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","支出項目別教育費","-",,"2019-12-24"
"0003087859","00400202","第２３表　中支出項目別学校教育費",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","支出項目別教育費","-",,"2019-12-24"
"0003087860","00400202","第２６表　設置者別高等学校教育費（中支出項目別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","支出項目別教育費","-",,"2019-12-24"
"0003087891","00400202","第２１表　総教育費（支出項目別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","支出項目別教育費","-",,"2019-12-24"
"0003087892","00400202","第２４表　社会教育費（支出項目別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","支出項目別教育費","-",,"2019-12-24"
"0003087893","00400202","第２７表　設置者別社会教育費（支出項目別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","支出項目別教育費","-",,"2019-12-24"
"0003087861","00400202","第２９表　生涯学習関連費（知事部局所管施設分）（支出項目別）",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","支出項目別生涯学習関連費（知事部局所管施設分）","-",,"2019-12-24"
"0003085516","00400202","第１０表　支出項目別生涯学習関連費（知事部局所管施設分）","10","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","生涯学習関連費（知事部局所管施設分）","-",,"2019-12-24"
"0003085462","00400202","第９表　財源別生涯学習関連費（知事部局所管施設分）","9","地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","全国集計","生涯学習関連費（知事部局所管施設分）","-",,"2019-12-24"
"0003086691","00400202","第１３表　教育分野別教育費総額",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","教育分野別総教育費","-",,"2019-12-24"
"0003087052","00400202","第１４表　教育分野別在学者・国民一人当たり及び一学級当たり経費",NA,"地方教育費調査","平成２３年度","地方教育費調査(平成２２会計年度)","都道府県別集計","教育分野別総教育費","-",,"2019-12-24"
