"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY5","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003131562","00450061","1","世帯数－構成割合，世帯人員・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003131732","00450061","10","夫婦ともに60歳以上－65歳以上の夫婦組数－構成割合，公的年金－恩給受給の有無・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003131636","00450061","11","世帯数－指数，全世帯－高齢者世帯・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003131565","00450061","12","高齢者世帯数－構成割合，世帯構造・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-19"
"0003131566","00450061","13","高齢者世帯数－構成割合，世帯業態・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0004022397","00450061","14","世帯数－構成割合－平均児童数，児童の有－児童数－無・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003131543","00450061","15","65歳以上の者のいる世帯数－構成割合，世帯構造・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-19"
"0003131673","00450061","16","65歳以上の者のみの世帯数－構成割合，世帯構造・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003131700","00450061","17","65歳以上の者の数－構成割合，家族形態・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003131544","00450061","18","世帯数，世帯人員・世帯類型・世帯構造別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003139889","00450061","19","世帯数，世帯構造・市郡・世帯業態別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003131563","00450061","2","世帯数－構成割合，世帯構造・年次別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-19"
"0003139956","00450061","20","世帯数，世帯類型・市郡・世帯業態別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003139941","00450061","21","世帯数，世帯類型・市郡・世帯種別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
"0003139922","00450061","22","世帯数，世帯人員・市郡・世帯主の年齢（５歳階級）別","国民生活基礎調査","平成18年国民生活基礎調査","世帯票",NA,NA,NA,"年次",,"2025-03-18"
