"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004017031","00450461","1","男女、年齢階級別　公的年金加入状況","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017032","00450461","10","男女、年齢階級、勤務先での呼称、フルタイム・フルタイム以外別　公的年金加入状況（会社員・公務員）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017033","00450461","11","男女、年齢階級、雇用期間別　公的年金加入状況（会社員・公務員）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017034","00450461","12","男女、年齢階級、基本給（月額）階級別　公的年金加入状況（会社員・公務員）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017035","00450461","13","男女、年齢階級、学生・学生以外別　公的年金加入状況","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017036","00450461","14","男女、年齢階級、学校の種類別　公的年金加入状況（20～59歳、学生）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017037","00450461","15","男女、年齢階級、医療保険加入状況別　公的年金加入状況","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017038","00450461","16","男女、年齢階級、住居の種類別　公的年金加入状況","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017039","00450461","17","男女、年齢階級　第１号未加入者の未加入の理由（複数回答）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017040","00450461","18","男女、年齢階級　第１号未加入者の今後の加入意思","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017041","00450461","19","男女、年齢階級、生命保険・個人年金加入状況別　公的年金加入状況","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017042","00450461","2","年齢階級、都道府県別　公的年金加入状況","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017043","00450461","20","男女、年齢階級、老後の生活設計（主要回答・複数回答）別　公的年金加入状況","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017044","00450461","21","公的年金加入状況、男女、年齢階級別　年金制度に関する周知度","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017045","00450461","22","公的年金加入状況、男女、年齢階級別　年金について知りたいこと（複数回答）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017046","00450461","23","公的年金加入状況、男女、年齢階級別　未納対策についての考え（複数回答）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017047","00450461","24","男女、年齢階級、国籍（日本・日本以外）別　公的年金加入状況","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017048","00450461","3","男女、年齢階級、就業形態別　公的年金加入状況","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017049","00450461","4","男女、年齢階級、業種別　公的年金加入状況（就業者）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017050","00450461","5","男女、年齢階級、就業形態、経営組織別　公的年金加入状況（就業者）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017051","00450461","6","男女、年齢階級、就業形態、事業所規模別　公的年金加入状況（就業者）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017052","00450461","7","男女、年齢階級、経営組織、事業所規模別　公的年金加入状況（就業者）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017053","00450461","8","男女、年齢階級、月の労働日数別　公的年金加入状況（会社員・公務員）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
"0004017054","00450461","9","男女、年齢階級、週の労働時間別　公的年金加入状況（会社員・公務員）","令和元年公的年金加入状況等調査","年次","201901-201912","2024-08-01"
