"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003248281","00500302","1-1","企業の状況 主たる営業業種別","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003249864","00500302","1-1","企業の状況 業種別計（食料品製造業、外食産業別）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003248789","00500302","1-2","企業の状況 資本金、売上高規模別企業分布（主たる営業業種別）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003250023","00500302","1-2","企業の状況 資本金、工場数別企業分布（主たる営業業種別）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003251575","00500302","1-3","企業の状況 第１位部門業種の売上高構成比別企業数（主たる営業業種別）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003252102","00500302","2-1","調査結果 工事部門別設備投資額「企業ベース」（前年度実績／当年度実績見込／次年度計画）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003254423","00500302","2-1","調査結果 資本金、年度別設備投資額「企業ベース／業種ベース」平成24年度～平成26年度","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003254640","00500302","2-1","調査結果 資本金、年度別設備投資額「企業ベース／業種ベース」平成27年度～","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003255083","00500302","2-1","調査結果 工事部門、資本金別設備投資額「企業ベース」平成24年度～平成26年度","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003255084","00500302","2-1","調査結果 工事部門、資本金別設備投資額「企業ベース」平成27年度～","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003254655","00500302","2-2","調査結果 業種、年度別の設備投資状況「企業ベース／業種ベース」平成24年度～平成26年度","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003254656","00500302","2-2","調査結果 業種、年度別の設備投資状況「企業ベース／業種ベース」平成27年度～","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003255686","00500302","2-2","調査結果 取得設備投資額（前年度実績／当年度実績見込／次年度計画）「業種ベース」","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003263852","00500302","2-3","調査結果 １企業当たり設備投資額","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003268668","00500302","2-5","調査結果 長期資金運用（前年度実績／当年度実績見込／次年度計画）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003268669","00500302","2-5","調査結果 長期資金調達（前年度実績／当年度実績見込／次年度計画）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269020","00500302","2-5","調査結果 長期資金運用の実績及び計画（資金、資本金区分別）平成24年度～平成26年度","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269021","00500302","2-5","調査結果 長期資金調達の実績及び計画（資金、資本金区分別）平成24年度～平成26年度","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269022","00500302","2-5","調査結果 長期資金運用の実績及び計画（資金、資本金区分別）平成27年度～","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269023","00500302","2-5","調査結果 長期資金調達の実績及び計画（資金、資本金区分別）平成27年度～","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269382","00500302","2-6","調査結果 業種別売上高及び研究開発費","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269800","00500302","2-6","調査結果 研究開発の動向（資本金、業種別計）平成24年度～平成26年度","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269801","00500302","2-6","調査結果 研究開発の動向（資本金、業種別計）平成27年度～","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269926","00500302","2-7","調査結果 海外直接投資の動向に関する回答状況（資本金、主たる営業業種別）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269932","00500302","2-7","調査結果 海外直接投資の主たる目的に対する回答状況（資本金、主たる営業業種別）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
"0003269933","00500302","2-7","調査結果 海外直接投資の対象国に関する回答状況（資本金、主たる営業業種別）","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-18"
