"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0002117405","00501000","木材需給（供給）量累年統計、需要量（国内消費量、輸出量）累年統計、供給量（国内生産量、輸入量）累年統計",NA,"木材需給表","長期累年",NA,"-","202301-202312","2025-04-08"
"0002067284","00501000","木材需給表 令和３（2021）年木材需給表","1","木材需給表","確報","令和３（2021）年木材需給表","年次","202101-202112","2024-03-29"
"0002067283","00501000","木材需給表 令和４（2022）年木材需給表","1","木材需給表","確報","令和４（2022）年木材需給表","年次","202201-202212","2025-04-08"
"0002067896","00501000","木材需給表 平成17（2005）年木材需給表","1","木材需給表","確報","平成17（2005）年木材需給表","年次","200501-200512","2024-03-29"
"0002067804","00501000","木材需給表 平成19（2007）年木材需給表","1","木材需給表","確報","平成19（2007）年木材需給表","年次","200701-200712","2024-03-29"
"0002067803","00501000","木材需給表 平成20（2008）年木材需給表","1","木材需給表","確報","平成20（2008）年木材需給表","年次","200801-200812","2024-03-29"
"0002067689","00501000","木材需給表 平成24（2012）年木材需給表","1","木材需給表","確報","平成24（2012）年木材需給表","年次","201201-201212","2024-03-29"
"0002067901","00501000","木材需給表 平成15（2003）年木材需給表","1","木材需給表","確報","平成15（2003）年木材需給表","年次","200301-200312","2024-03-29"
"0002067698","00501000","木材需給表 平成22（2010）年木材需給表","1","木材需給表","確報","平成22（2010）年木材需給表","年次","201001-201012","2024-03-29"
"0002067484","00501000","木材需給表 平成28（2016）年木材需給表","1","木材需給表","確報","平成28（2016）年木材需給表","年次","201601-201612","2024-03-29"
"0002067483","00501000","木材需給表 平成29（2017）年木材需給表","1","木材需給表","確報","平成29（2017）年木材需給表","年次","201701-201712","2024-03-29"
"0002067405","00501000","木材需給表 平成30（2018）年木材需給表","1","木材需給表","確報","平成30（2018）年木材需給表","年次","201801-201812","2024-03-29"
"0002067404","00501000","木材需給表 令和元（2019）年木材需給表","1","木材需給表","確報","令和元（2019）年木材需給表","年次","201901-201912","2024-03-29"
"0002067900","00501000","木材需給表 平成16（2004）年木材需給表","1","木材需給表","確報","平成16（2004）年木材需給表","年次","200401-200412","2024-03-29"
"0002067699","00501000","木材需給表 平成21（2009）年木材需給表","1","木材需給表","確報","平成21（2009）年木材需給表","年次","200901-200912","2024-03-29"
"0002067687","00501000","木材需給表 平成26（2014）年木材需給表","1","木材需給表","確報","平成26（2014）年木材需給表","年次","201401-201412","2024-03-29"
"0002067633","00501000","木材需給表 平成27（2015）年木材需給表","1","木材需給表","確報","平成27（2015）年木材需給表","年次","201501-201512","2024-03-29"
"0002067347","00501000","木材需給表 令和２（2020）年木材需給表","1","木材需給表","確報","令和２（2020）年木材需給表","年次","202001-202012","2025-04-08"
"0002067805","00501000","木材需給表 平成18（2006）年木材需給表","1","木材需給表","確報","平成18（2006）年木材需給表","年次","200601-200612","2024-03-29"
"0002067690","00501000","木材需給表 平成23（2011）年木材需給表","1","木材需給表","確報","平成23（2011）年木材需給表","年次","201101-201112","2024-03-29"
"0002067688","00501000","木材需給表 平成25（2013）年木材需給表","1","木材需給表","確報","平成25（2013）年木材需給表","年次","201301-201312","2024-03-29"
"0002117424","00501000","木材需給表 令和５（2023）年木材需給表","1","木材需給表","確報","令和５（2023）年木材需給表","年次","202301-202312","2025-04-08"
