"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003126348","00600130","時系列",NA,"公共工事着工統計調査",NA,"年度次",0,"2026-04-30"
"0003126365","00600130","時系列 前年度比",NA,"公共工事着工統計調査",NA,"年度次",0,"2026-04-30"
"0003126385","00600130","民間土木着工統計調査　時系列表 民間土木着工統計調査　時系列表",NA,"民間土木工事着工統計調査",NA,"年度次",0,"2026-04-30"
"0003126393","00600130","民間土木着工統計調査　時系列表 前年度比 民間土木着工統計調査　時系列表 前年度比",NA,"民間土木工事着工統計調査",NA,"年度次",0,"2026-04-30"
"0003126286","00600130","専業・兼業別、大臣・知事許可別、業種別、経営組織別、資本金階層別－業者数","1","建設工事施工統計調査",NA,"年度次",0,"2026-04-30"
"0004017060","00600130","（遡及集計）専業・兼業別、大臣・知事許可別、業種別、経営組織別、資本金階層別－業者数","1","建設工事施工統計調査",NA,"年度次",0,"2026-04-30"
"0003126332","00600130","業種別、施工都道府県別－元請完成工事高 (2011-)","10","建設工事施工統計調査",NA,"年度次",0,"2026-04-30"
"0003126347","00600130","業種別、施工都道府県別－施工業者数 (-2010)","10","建設工事施工統計調査",NA,"年度次",0,"2026-04-30"
"0003126364","00600130","業種別、施工都道府県別－元請完成工事高 (-2010)","10","建設工事施工統計調査",NA,"年度次",0,"2026-04-30"
"0003126384","00600130","業種別、施工都道府県別－施工業者数 (2011-)","10","建設工事施工統計調査",NA,"年度次",0,"2026-04-30"
"0004017139","00600130","（遡及集計）業種別、施工都道府県別－施工業者数","10","建設工事施工統計調査",NA,"年度次",0,"2026-04-30"
"0004017140","00600130","（遡及集計）業種別、施工都道府県別－元請完成工事高","10","建設工事施工統計調査",NA,"年度次",0,"2026-04-30"
