"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003281500","00130002","交通事故の発生状況 交通事故発生状況の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281501","00130002","交通事故の発生状況 年齢層別人口10万人当たり負傷者数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281502","00130002","交通事故の発生状況 年齢層別負傷者数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281503","00130002","交通事故の発生状況 状態別負傷者数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281505","00130002","交通事故の発生状況 年齢層別・状態別人口10万人当たり負傷者数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281506","00130002","交通事故の発生状況 年齢層別・状態別負傷者数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281507","00130002","交通事故の発生状況 損傷部位別死傷者数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281508","00130002","交通事故の発生状況 損傷部位別・状態別死傷者数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281509","00130002","交通事故の発生状況 昼夜別・年齢層別・状態別人口10万人当たり死傷者数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281510","00130002","交通事故の発生状況 昼夜別・年齢層別・状態別死傷者数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281511","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の年齢層別免許保有者10万人当たり交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281512","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の年齢層別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281513","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の法令違反別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281514","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の法令違反別・年齢層別免許保有者10万人当たり交通事故件数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281515","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の法令違反別・年齢層別交通事故件数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281516","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の飲酒別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281517","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の危険認知速度別・年齢層別免許保有者10万人当たり交通事故件数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281518","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の年齢層別・危険認知速度別交通事故件数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281519","00130002","交通事故の発生状況 事故類型別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281520","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の事故類型別・年齢層別免許保有者10万人当たり交通事故件数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281521","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の事故類型別・年齢層別交通事故件数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281522","00130002","交通事故の発生状況 原付以上運転者（第1当事者）の事故類型別・法令違反別交通事故件数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281525","00130002","交通事故の発生状況 自転車（第1・2当事者）の事故類型別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281526","00130002","交通事故の発生状況 自転車（第1・第2当事者）の法令違反別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281527","00130002","交通事故の発生状況 自転車（第1・2当事者）の相手当事者別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281528","00130002","交通事故の発生状況 当事車種別（第1当事者）別交通事故件数の推移　(2005年～2007年)",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281529","00130002","交通事故の発生状況 高速道路における供用延長100km当たり死傷者数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281530","00130002","交通事故の発生状況 高速道路における死傷者数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281533","00130002","交通事故の発生状況 高速道路における供用延長100km当たり事故類型別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
