"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003271964","00250006","新収容者の非行名別　年齢","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271965","00250006","新収容者の非行名別　入所回数","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271966","00250006","新収容者の非行名別　非行時の身上","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271967","00250006","新収容者の非行名別　保護処分歴","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271968","00250006","新収容者の非行名別　国籍","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271969","00250006","新収容者の非行名別　居住地（都道府県別等）","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271970","00250006","新収容者の非行名別　居住状況","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271971","00250006","新収容者の非行名別　職業及び家庭の生活程度　職業","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271972","00250006","新収容者の非行名別　職業及び家庭の生活程度　家庭の生活程度","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271973","00250006","新収容者の非行名別　教育程度","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271974","00250006","新収容者の非行名別　共犯者の数及び共犯者の種類　共犯者の数","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271975","00250006","新収容者の非行名別　共犯者の数及び共犯者の種類　共犯者の種類","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271976","00250006","新収容者の非行名別　不良集団関係及び薬物等使用関係　不良集団関係","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271977","00250006","新収容者の非行名別　不良集団関係及び薬物等使用関係　薬物等使用関係","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271978","00250006","新収容者の非行名別　精神診断及び知能指数　精神診断","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271979","00250006","新収容者の非行名別　精神診断及び知能指数　知能指数","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271980","00250006","新収容者の非行名別　鑑別判定及び医療措置　鑑別判定","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271981","00250006","新収容者の非行名別　鑑別判定及び医療措置　医療措置","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271982","00250006","新収容者の非行名別　審判決定等","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003271983","00250006","新収容者の保護処分歴及び薬物等使用関係別　年齢　保護処分歴","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003271984","00250006","新収容者の保護処分歴及び薬物等使用関係別　年齢　薬物等使用関係","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003271985","00250006","新収容者の審判決定等別　鑑別判定及び医療措置　鑑別判定","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003271986","00250006","新収容者の審判決定等別　鑑別判定及び医療措置　医療措置","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003271987","00250006","新収容者の審判決定等別　保護処分歴","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003271988","00250006","新収容者の審判決定等別　非行時の身上、保護者及び家庭の生活程度　非行時の身上","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003271989","00250006","新収容者の審判決定等別　非行時の身上、保護者及び家庭の生活程度　保護者","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003271990","00250006","新収容者の審判決定等別　非行時の身上、保護者及び家庭の生活程度　家庭の生活程度","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003271991","00250006","新収容者の居住状況別　保護者","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003271992","00250006","新収容者の非行名別　被虐待経験","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003286601","00250006","少年鑑別所別　入退所事由別人員及び１日平均収容人員（１　総数）","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003286602","00250006","少年鑑別所別　入退所事由別人員及び１日平均収容人員（２　交通）","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003286603","00250006","少年鑑別所別　鑑別の受付及び終了人員","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003286604","00250006","少年鑑別所別　非行及び犯罪の防止に関する援助実施人員","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003286605","00250006","少年鑑別所別　新収容者の年齢","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003286606","00250006","少年鑑別所別　新収容者の非行名","少年矯正統計","少年鑑別所","年次",,"2024-11-26"
"0003286607","00250006","少年鑑別所別　新収容者の不良集団関係及び薬物等使用関係　不良集団関係","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003286608","00250006","少年鑑別所別　新収容者の不良集団関係及び薬物等使用関係　薬物等使用関係","少年矯正統計","少年鑑別所","年次",,"2024-11-25"
"0003286609","00250006","少年鑑別所別　入退所事由別人員","少年矯正統計","少年鑑別所","月次",,"2025-06-02"
"0003271845","00250006","年次別　新収容者の非行名","少年矯正統計","少年院","年次",,"2024-12-03"
"0003271857","00250006","新収容者の非行名別　年齢","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271858","00250006","新収容者の非行名別　非行時の身上及び矯正教育課程・処遇課程等　非行時の身上","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271859","00250006","新収容者の非行名別　非行時の身上及び処遇課程等　処遇課程等","少年矯正統計","少年院","年次",,"2024-11-26"
"0003271860","00250006","新収容者の非行名別　非行時の身上及び矯正教育課程　矯正教育課程","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271861","00250006","新収容者の非行名別　保護処分歴等　保護処分歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271862","00250006","新収容者の非行名別　保護処分歴等　審判不開始・不処分歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271863","00250006","新収容者の非行名別　保護処分歴等　試験観察歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271864","00250006","新収容者の前回処分別　本件非行までの期間（処遇区分別）","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271865","00250006","新収容者の前回処分別　本件非行までの期間","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271866","00250006","新収容者の非行名別　教育程度","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271867","00250006","新収容者の非行名別　精神診断及び知能指数　精神診断","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271868","00250006","新収容者の非行名別　精神診断及び知能指数　知能指数","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271869","00250006","新収容者の非行名別　共犯者の数及び共犯者の種類　共犯者の数","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271870","00250006","新収容者の非行名別　共犯者の数及び共犯者の種類　共犯者の種類","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271871","00250006","新収容者の年齢別　保護処分歴等　保護処分歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271872","00250006","新収容者の年齢別　保護処分歴等　審判不開始・不処分歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271873","00250006","新収容者の年齢別　保護処分歴等　試験観察歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271874","00250006","新収容者中初入院者の年齢別　保護処分歴等　保護処分歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271875","00250006","新収容者中初入院者の年齢別　保護処分歴等　審判不開始・不処分歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271876","00250006","新収容者中初入院者の年齢別　保護処分歴等　試験観察歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271877","00250006","新収容者の処遇課程等別　年齢","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271878","00250006","新収容者の矯正教育課程別　年齢","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271879","00250006","新収容者の処遇課程等別　少年院送致歴","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271880","00250006","新収容者の矯正教育課程別　少年院送致歴","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271881","00250006","新収容者の処遇課程等別　非行時の身上及び保護者　非行時の身上","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271882","00250006","新収容者の処遇課程等別　非行時の身上及び保護者　保護者","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271883","00250006","新収容者の矯正教育課程別　非行時の身上及び保護者　非行時の身上","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271884","00250006","新収容者の矯正教育課程別　非行時の身上及び保護者　保護者","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271885","00250006","新収容者の処遇課程等別　保護処分歴及び国籍　保護処分歴","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271886","00250006","新収容者の処遇課程等別　保護処分歴及び国籍　国籍","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271887","00250006","新収容者の矯正教育課程別　保護処分歴及び国籍　保護処分歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271888","00250006","新収容者の矯正教育課程別　保護処分歴及び国籍　国籍","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271889","00250006","新収容者の処遇課程等別　教育程度","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271890","00250006","新収容者の矯正教育課程別　教育程度","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271891","00250006","新収容者の処遇課程等別　精神診断及び知能指数　精神診断","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271892","00250006","新収容者の処遇課程等別　精神診断及び知能指数　知能指数","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271893","00250006","新収容者の矯正教育課程別　精神診断及び知能指数　精神診断","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271894","00250006","新収容者の矯正教育課程別　精神診断及び知能指数　知能指数","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271895","00250006","新収容者の処遇課程等別　職業及び家庭の生活程度　職業","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271896","00250006","新収容者の処遇課程等別　職業及び家庭の生活程度　家庭の生活程度","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271897","00250006","新収容者の矯正教育課程別　職業及び家庭の生活程度　職業","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271898","00250006","新収容者の矯正教育課程別　職業及び家庭の生活程度　家庭の生活程度","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271899","00250006","新収容者の処遇課程等別　不良集団関係及び薬物等使用関係　不良集団関係","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271900","00250006","新収容者の処遇課程等別　不良集団関係及び薬物等使用関係　薬物等使用関係","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271901","00250006","新収容者の矯正教育課程別　不良集団関係及び薬物等使用関係　不良集団関係","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271902","00250006","新収容者の矯正教育課程別　不良集団関係及び薬物等使用関係　薬物等使用関係","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271903","00250006","新収容者の処遇課程等別　前回処分及び本件非行までの期間　前回処分","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271904","00250006","新収容者の処遇課程等別　前回処分及び本件非行までの期間　本件非行までの期間","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271905","00250006","新収容者の矯正教育課程別　前回処分及び本件非行までの期間　前回処分","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271906","00250006","新収容者の矯正教育課程別　前回処分及び本件非行までの期間　本件非行までの期間","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271907","00250006","新収容者の処遇課程等別　審判不開始・不処分歴","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271908","00250006","新収容者の矯正教育課程別　審判不開始・不処分歴","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271909","00250006","新収容者の処遇課程等別　前回処遇課程等","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271910","00250006","新収容者の矯正教育課程別　前回矯正教育課程等","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271911","00250006","新収容者の居住状況及び保護者別　不良集団関係　新収容者の居住状況","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271912","00250006","新収容者の居住状況及び保護者別　不良集団関係　保護者","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271914","00250006","新収容者の保護者とその職業","少年矯正統計","少年院","年次",,"2024-12-06"
"0003271938","00250006","出院者の処遇課程等別　外出回数","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271939","00250006","出院者の矯正教育課程別　外出回数","少年矯正統計","少年院","年次",,"2024-12-11"
"0003271940","00250006","出院者の処遇課程等別　外泊回数","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271941","00250006","出院者の矯正教育課程別　外泊回数","少年矯正統計","少年院","年次",,"2024-12-11"
"0003271942","00250006","出院者の処遇課程等別　賞の回数及び移送の有無　賞の回数","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271943","00250006","出院者の処遇課程等別　賞の回数及び移送の有無　移送の有無","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271944","00250006","出院者の矯正教育課程別　賞の回数及び移送の有無　賞の回数","少年矯正統計","少年院","年次",,"2024-12-11"
"0003271945","00250006","出院者の矯正教育課程別　賞の回数及び移送の有無　移送の有無","少年矯正統計","少年院","年次",,"2024-12-11"
"0003271946","00250006","出院者の親族等の面会回数別　処遇課程等","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271947","00250006","出院者の親族等の面会回数別　矯正教育課程","少年矯正統計","少年院","年次",,"2024-12-11"
"0003271948","00250006","出院者の引受人別　在院期間","少年矯正統計","少年院","年次",,"2024-12-11"
"0003271949","00250006","出院者中収容を継続された者の収容継続事由別　収容継続期間　～2014年","少年矯正統計","少年院","年次",,"2024-11-25"
"0003271950","00250006","出院者中収容を継続された者の収容継続事由別　収容継続期間　2015年～","少年矯正統計","少年院","年次",,"2024-12-11"
"0003281203","00250006","出院者中休養した者の病名別　休養人員及び平均休養日数","少年矯正統計","少年院","年次",,"2024-12-11"
"0003284062","00250006","出院者中休養した者の在院期間別　休養人員、休養延日数及び平均休養日数","少年矯正統計","少年院","年次",,"2024-12-11"
"0003286600","00250006","家庭裁判所別　新収容者の非行名","少年矯正統計","少年院","年次",,"2024-12-06"
"0003286981","00250006","少年院別　入出院事由別人員及び１日平均収容人員","少年矯正統計","少年院","年次",,"2024-12-04"
"0003286982","00250006","少年院別　年末在院者の処遇課程等","少年矯正統計","少年院","年次",,"2024-11-25"
"0003286983","00250006","少年院別　年末在院者の少年院の種類・処遇区分","少年矯正統計","少年院","年次",,"2024-11-25"
"0003286984","00250006","少年院別　年末在院者の少年院の種類・矯正教育課程","少年矯正統計","少年院","年次",,"2024-12-03"
"0003286985","00250006","少年院別　年末在院者の処遇の段階","少年矯正統計","少年院","年次",,"2024-12-03"
"0003286986","00250006","少年院別　新収容者の非行名","少年矯正統計","少年院","年次",,"2024-12-03"
