"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003147180","00250012","99-01","国籍（出身地）別在留資格（在留目的）別外国人登録者","在留外国人統計（旧登録外国人統計）","登録外国人統計","年次",0,"2024-12-13"
"0003147200","00250012","99-02","国籍（出身地）別年齢・男女別外国人登録者","在留外国人統計（旧登録外国人統計）","登録外国人統計","年次",0,"2024-12-13"
"0003147220","00250012","99-03","都道府県別国籍（出身地）別外国人登録者","在留外国人統計（旧登録外国人統計）","登録外国人統計","年次",0,"2024-12-13"
"0003147703","00250012","99-04","都道府県別在留資格（在留目的）別外国人登録者（総数、中国、韓国・朝鮮、ブラジル）","在留外国人統計（旧登録外国人統計）","登録外国人統計","年次",0,"2024-12-13"
"0003147763","00250012","99-05","都道府県別年齢・男女別外国人登録者（総数、中国、韓国・朝鮮、ブラジル）","在留外国人統計（旧登録外国人統計）","登録外国人統計","年次",0,"2024-12-13"
"0003147183","00250012","99-06","都道府県別国籍（出身地）別世帯主との続柄別外国人登録者","在留外国人統計（旧登録外国人統計）","登録外国人統計","年次",0,"2024-12-13"
"0003147203","00250012","99-07-1","都道府県別本籍地別外国人登録者（その１　中国）","在留外国人統計（旧登録外国人統計）","登録外国人統計","年次",0,"2024-12-13"
"0003147242","00250012","99-07-2","都道府県別本籍地別外国人登録者（その２　韓国・朝鮮）","在留外国人統計（旧登録外国人統計）","登録外国人統計","年次",0,"2024-12-13"
"0003147223","00250012","99-08","国籍（出身地）別市・区別外国人登録者","在留外国人統計（旧登録外国人統計）","登録外国人統計","年次",0,"2024-12-13"
"0004019020","00250012","01","国籍・地域別　在留資格別　在留外国人","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0003147247","00250012","01-1","国籍・地域別　在留資格（在留目的）別　在留外国人","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0003147228","00250012","01-2","国籍・地域別　在留資格（在留目的）別　総在留外国人","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0004023760","00250012","02","国籍・地域別　年齢・性別　在留外国人","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0003147260","00250012","02-1","国籍・地域別　年齢・男女別　在留外国人","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0003147280","00250012","02-2","国籍・地域別　年齢・男女別　総在留外国人","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0003147248","00250012","03","在留資格別　年齢・男女別　在留外国人","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0003147229","00250012","04","都道府県別　国籍・地域別　在留外国人","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0003147704","00250012","05","都道府県別　在留資格別　在留外国人（総数、中国、台湾、韓国、フィリピン、ブラジル）","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0003147782","00250012","06","都道府県別　年齢・男女別　在留外国人（総数、中国、台湾、韓国、フィリピン、ブラジル）","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
"0003147283","00250012","07","市区町村別　国籍・地域別　在留外国人","在留外国人統計（旧登録外国人統計）","在留外国人統計","半期",0,"2024-12-13"
