"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003317720","00351020","101","第1表　総括表 (資本金階級) (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317721","00351020","101","第1表　総括表 (業種別) (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317736","00351020","101","第1表　総括表  (資本金階級) (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317737","00351020","101","第1表　総括表 (業種別) (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317722","00351020","102","第2表　資本金、営業収入、申告所得  (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317738","00351020","102","第2表　資本金、営業収入、申告所得  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317723","00351020","103","第3表　繰越欠損金 (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317739","00351020","103","第3表　繰越欠損金  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317724","00351020","104","第4表　益金処分 (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317740","00351020","104","第4表　益金処分  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317725","00351020","105","第5表　受取配当、外国子会社から受ける配当等  (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317741","00351020","105","第5表　受取配当、外国子会社から受ける配当等　(～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317726","00351020","106","第6表　寄附金、交際費等 (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317742","00351020","106","第6表　寄附金、交際費等  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317727","00351020","107","第7表　引当金、減価償却費 (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317743","00351020","107","第7表　引当金、減価償却費  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317728","00351020","108","第8表　留保金 (留保金階級別表)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317729","00351020","108","第8表　留保金 (所得階級別表) (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317755","00351020","108","第8表　留保金 (所得階級別表) (～201０年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317730","00351020","109","第9表　所得階級別・資本金階級別法人数   (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317754","00351020","109","第9表　所得階級別・資本金階級別法人数  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317731","00351020","110","第10表　所得階級別・業種別所得金額  (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317753","00351020","110","第10表　所得階級別・業種別所得金額  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317732","00351020","111","第11表　法人数の内訳 (青白区分) (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317733","00351020","111","第11表　法人数の内訳 (同非区分) (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317734","00351020","111","第11表　法人数の内訳 (組織区分) (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317735","00351020","111","第11表　法人数の内訳 (事業年度区分) (2011年度～)","会社標本調査","結果表","年度次","201601-201612","2021-07-08"
"0003317744","00351020","111","第11表　法人数の内訳 (青白区分) (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317745","00351020","111","第11表　法人数の内訳 (同非区分) (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317746","00351020","111","第11表　法人数の内訳 (事業年度区分) (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317752","00351020","111","第11表　法人数の内訳 (組織区分) (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317747","00351020","112","第12表　租税特別措置法関連項目 (法人税額の特別控除)  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317748","00351020","112","第12表　租税特別措置法関連項目 (準備金)  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317749","00351020","112","第12表　租税特別措置法関連項目 (租税特別措置法による償却の特例)  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317750","00351020","112","第12表　租税特別措置法関連項目 (交際費等)  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
"0003317751","00351020","112","第12表　租税特別措置法関連項目 (租税特別措置法関連項目)  (～2010年度)","会社標本調査","結果表","年度次","201001-201012","2021-07-08"
