"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY5","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003061540","00400001","1","総括","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","総括",NA,"-",,"2023-10-25"
"0003015869","00400001","1","都道府県別　学校数","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2012-03-02"
"0003061522","00400001","10","種類別　７５条の学級児童数","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061523","00400001","11","外国人児童数","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061524","00400001","12","理由別　長期欠席児童数","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061525","00400001","13","帰国子女数（設置者別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061526","00400001","13","帰国子女数（都道府県別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061527","00400001","14","職名別　教員数（本務者）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061528","00400001","15","職名別　教員数（兼務者）（設置者別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061529","00400001","15","職名別　教員数（兼務者）（うち公立　都道府県別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061530","00400001","16","本務教員のうち理由別休職等教員数（再掲）（設置者別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061531","00400001","16","本務教員のうち理由別休職等教員数（再掲）（うち公立　都道府県別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003059469","00400001","17","本務教員のうち指導主事等の数（公立）（再掲）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061532","00400001","18","本務教職員のうち教務主任等の数（再掲）（設置者別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061533","00400001","18","本務教職員のうち教務主任等の数（再掲）（うち公立　都道府県別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061534","00400001","19","職員数（本務者）（設置者別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061535","00400001","19","職員数（本務者）（うち公立　都道府県別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003016281","00400001","2","都道府県別　学級数別　学校数（うち公立　都道府県別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2012-03-02"
"0003016282","00400001","2","都道府県別　学級数別　学校数（うち公立-本校　都道府県別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2012-03-02"
"0003016283","00400001","2","都道府県別　学級数別　学校数（本校・分校別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2012-03-02"
"0003016284","00400001","2","都道府県別　学級数別　学校数（設置者別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061536","00400001","20","私費負担の職員数（国・公立の本務者）（設置者別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
"0003061537","00400001","20","私費負担の職員数（国・公立の本務者）（うち公立　都道府県別）","学校基本調査","平成１８年度","初等中等教育機関・専修学校・各種学校《報告書掲載集計》","学校調査・学校通信教育調査（高等学校）","小学校",NA,"-",,"2023-10-25"
