"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003019504","00400003","1","年齢別　職名別　本務教員数","学校教員統計調査","平成１９年度","第1部　高等学校以下の学校及び専修学校、各種学校の部","学校調査",NA,"-",,"2019-03-21"
"0003019505","00400003","1","年齢別　職名別　本務教員数（平均年齢）","学校教員統計調査","平成１９年度","第1部　高等学校以下の学校及び専修学校、各種学校の部","学校調査",NA,"-",,"2019-03-21"
"0003019506","00400003","2","都道府県別　年齢別　本務教員数","学校教員統計調査","平成１９年度","第1部　高等学校以下の学校及び専修学校、各種学校の部","学校調査",NA,"-",,"2019-03-21"
"0003019507","00400003","2","都道府県別　年齢別　本務教員数（平均年齢）","学校教員統計調査","平成１９年度","第1部　高等学校以下の学校及び専修学校、各種学校の部","学校調査",NA,"-",,"2019-03-21"
"0003017649","00400003","170","年齢別　職名別　性別　本務教員数","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017774","00400003","170","年齢別　職名別　性別　本務教員数（平均年齢）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017775","00400003","171","年齢別　性別　昼夜等別　兼務教員数","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017776","00400003","171","年齢別　性別　昼夜等別　兼務教員数（平均年齢）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017777","00400003","172","都道府県別 採用前の状況別 職名別 採用教員数（小学校・中学校・幼稚園）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017778","00400003","172","年齢区分別　専門分野別　本務教員数（平均年齢）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017779","00400003","173","年齢区分別　専門分野別　兼務教員数","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017780","00400003","173","年齢区分別　専門分野別　兼務教員数（平均年齢）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017781","00400003","174","勤務年数区分別　職名別　本務教員数","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017782","00400003","174","勤務年数区分別　職名別　本務教員数（平均勤務年数）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017783","00400003","175","学歴区分別　専門分野別　本務教員数","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003097189","00400003","176","年齢区分別　専門分野別　本務教員の自校出身者の占める比率（平均年齢）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003097203","00400003","176","年齢区分別　専門分野別　本務教員の自校出身者の占める比率（％）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017786","00400003","177","授業担当状況別　職名別　本務教員数","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017787","00400003","178","週担当授業時数別　職名別　本務教員数","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017788","00400003","178","週担当授業時数別　職名別　本務教員数（平均週担当授業時数）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017789","00400003","179","他学校での週担当授業時数別　職名別　本務教員数","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
"0003017790","00400003","179","他学校での週担当授業時数別　職名別　本務教員数（平均週担当授業時数）","学校教員統計調査","平成１９年度","第2部　大学等の部","教員個人調査","大学","-",,"2019-03-21"
