"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003366529","00450422","1","所得再分配による所得階級別の世帯分布の変化","所得再分配調査","年次",0,"2024-02-28"
"0003371230","00450422","10","世帯員の年齢階級別ジニ係数（等価所得）","所得再分配調査","年次",0,"2024-02-28"
"0003375350","00450422","2","当初所得階級別所得再分配状況","所得再分配調査","年次",0,"2024-02-28"
"0003375351","00450422","3","世帯類型別所得再分配状況","所得再分配調査","年次",0,"2024-02-28"
"0003375352","00450422","4","世帯主の年齢階級別所得再分配状況","所得再分配調査","年次",0,"2024-02-28"
"0003375353","00450422","5","世帯構造別所得再分配状況","所得再分配調査","年次",0,"2024-02-28"
"0003375354","00450422","6","世帯人員別所得再分配状況","所得再分配調査","年次",0,"2024-02-28"
"0003371194","00450422","7","所得再分配による所得階級別の世帯員分布の変化（等価所得）","所得再分配調査","年次",0,"2024-02-28"
"0003371250","00450422","8","当初所得階級別所得再分配状況（等価所得）","所得再分配調査","年次",0,"2024-02-28"
"0003371231","00450422","9","世帯員の年齢階級別所得再分配状況（等価所得）","所得再分配調査","年次",0,"2024-02-28"
"0004013200","00450422",NA,"閲覧表 第１表","所得再分配調査","年次",0,"2024-02-28"
"0004013201","00450422",NA,"閲覧表 第２表","所得再分配調査","年次",0,"2024-02-28"
