"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004011100","00500300","1","年度別食料需給表 平成26年食料需給表（確定値）","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011160","00500300","1","年度別食料需給表 平成27年食料需給表（概算値）","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011383","00500300","1","参考統計表 主要加工食品の生産量　穀類を主原料とする主要加工食品の生産量","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011387","00500300","1","参考統計表 主要加工食品の生産量　でん粉を主原料とする主要加工食品の生産量","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011388","00500300","1","参考統計表 主要加工食品の生産量　豆類・油脂類を主原料とする加工食品の生産量","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011389","00500300","1","参考統計表 主要加工食品の生産量　野菜を主原料とする主要加工食品の生産量","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011420","00500300","1","参考統計表 主要加工食品の生産量　肉類・鶏卵を主原料とする主要加工食品の生産量","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011200","00500300","2","項目別累年表 項目別累年表","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011421","00500300","2","参考統計表 飼料需給表","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011220","00500300","3","品目別累年表 品目別累年表","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011240","00500300","4-1","主要項目の品目別累年表 国内生産量の内訳　穀類の国内生産量の内訳","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011241","00500300","4-1","主要項目の品目別累年表 国内生産量の内訳　豆類の国内生産量の内訳","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011242","00500300","4-1","主要項目の品目別累年表 国内生産量の内訳　果実の国内生産量の内訳","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011260","00500300","4-1","主要項目の品目別累年表 国内生産量の内訳　野菜の国内生産量の内訳","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011280","00500300","4-1","主要項目の品目別累年表 国内生産量の内訳　肉類の国内生産量の内訳","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011281","00500300","4-1","主要項目の品目別累年表 国内生産量の内訳　主要魚介類・海藻類の国内生産量の内訳","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011282","00500300","4-1","主要項目の品目別累年表 国内生産量の内訳　主要油脂類の国内生産量の内訳","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011300","00500300","4-1","主要項目の品目別累年表 国内生産量の内訳　その他の食料の国内生産量の内訳","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
"0004011301","00500300","4-1","主要項目の品目別累年表 国内生産量の内訳　酒類の国内生産量の内訳","食料需給表","確報","平成27年度食料需給表","年度次","201504-201603","2024-01-15"
