"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003410051","00500602","1","総合農協統計表 組合員数及び組合員戸数累年統計","農業協同組合及び同連合会一斉調査","長期累年",NA,NA,"年次",,"2023-03-07"
"0003375324","00500602","2","総合農協統計表 正組合員戸数別組合数累年統計","農業協同組合及び同連合会一斉調査","長期累年",NA,NA,"年次",,"2023-03-07"
"0003375325","00500602","3","総合農協統計表 組合役職員数累年統計","農業協同組合及び同連合会一斉調査","長期累年",NA,NA,"年次",,"2023-03-07"
"0003375326","00500602","4","総合農協統計表 貸借対照表累年統計","農業協同組合及び同連合会一斉調査","長期累年",NA,NA,"年次",,"2023-03-07"
"0003408614","00500602","5","総合農協統計表 損益計算書累年統計","農業協同組合及び同連合会一斉調査","長期累年",NA,NA,"年次",,"2023-03-07"
"0003375328","00500602","6","総合農協統計表 購買事業の内訳（総額）累年統計","農業協同組合及び同連合会一斉調査","長期累年",NA,NA,"年次",,"2023-03-07"
"0003375329","00500602","7","総合農協統計表 購買事業の内訳（１組合当たり平均）累年統計","農業協同組合及び同連合会一斉調査","長期累年",NA,NA,"年次",,"2023-03-07"
"0003404290","00500602","8","総合農協統計表 販売事業の内訳（総額）累年統計","農業協同組合及び同連合会一斉調査","長期累年",NA,NA,"年次",,"2023-03-07"
"0003404291","00500602","9","総合農協統計表 販売事業の内訳（1組合当たり平均）累年統計","農業協同組合及び同連合会一斉調査","長期累年",NA,NA,"年次",,"2023-03-07"
"0003279931","00500602","10","統計表（連合会別） 補助金・助成金 年間受入額 信連、経済連、厚生連","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279933","00500602","11","統計表（連合会別） 諸税 信連、経済連、厚生連","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279935","00500602","12","統計表（連合会別） 外部出資","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279937","00500602","12","統計表（連合会別） 外部出資 株式会社の株式取得","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279938","00500602","13-1","統計表（連合会別） 事業の明細　信連の事業","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279939","00500602","13-1","統計表（連合会別） 事業の明細　信連の事業 預け金","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279940","00500602","13-1","統計表（連合会別） 事業の明細　信連の事業 有価証券","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279941","00500602","13-1","統計表（連合会別） 事業の明細　信連の事業 貯金","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279942","00500602","13-1","統計表（連合会別） 事業の明細　信連の事業 特定信用事業代理業者の状況","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279943","00500602","13-2-1","統計表（連合会別） 事業の明細　経済連及びその他の連合会の事業 購買事業 経済連","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279944","00500602","13-2-1","統計表（連合会別） 事業の明細　経済連及びその他の連合会の事業 購買事業 畜産連","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279945","00500602","13-2-1","統計表（連合会別） 事業の明細　経済連及びその他の連合会の事業 購買事業 酪農連","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279946","00500602","13-2-1","統計表（連合会別） 事業の明細　経済連及びその他の連合会の事業 購買事業 その他連","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279947","00500602","13-2-2","統計表（連合会別） 事業の明細　経済連及びその他の連合会の事業 販売事業 経済連","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279948","00500602","13-2-2","統計表（連合会別） 事業の明細　経済連及びその他の連合会の事業 販売事業 畜産連","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
"0003279950","00500602","13-2-2","統計表（連合会別） 事業の明細　経済連及びその他の連合会の事業 販売事業 その他連","農業協同組合及び同連合会一斉調査","確報","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-",,"2023-03-07"
