"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003014751","00551130","月次報 12月分",NA,"ガス事業生産動態統計調査","統計表一覧","平成20年","-",,"2010-03-22"
"0003014752","00551130","四半期報 1～3月期",NA,"ガス事業生産動態統計調査","統計表一覧","平成20年","-",,"2018-09-06"
"0003014753","00551130","総括表 平成20年1月～平成20年12月",NA,"ガス事業生産動態統計調査","統計表一覧","平成20年","-",,"2010-03-22"
"0003014754","00551130","ガス生産量及び購入量内訳 平成19年年計",NA,"ガス事業生産動態統計調査","統計表一覧","平成19年","-",,"2010-03-22"
"0003014755","00551130","製品ガス生産・購入・販売・在庫及び需要家メーター数 平成19年年計",NA,"ガス事業生産動態統計調査","統計表一覧","平成19年","-",,"2010-03-22"
"0003014756","00551130","原料 平成19年年計",NA,"ガス事業生産動態統計調査","統計表一覧","平成19年","-",,"2010-03-22"
"0003014757","00551130","託送供給・労務・電力 平成19年年計",NA,"ガス事業生産動態統計調査","統計表一覧","平成19年","-",,"2010-03-22"
"0003225421","00551130","月次総括表 月次総括表 月次","01","ガス事業生産動態統計調査","統計表一覧",NA,"月次",,"2018-09-06"
"0003225494","00551130","月次総括表 月次総括表 月次","01","ガス事業生産動態統計調査","統計表一覧",NA,"月次",,"2018-09-06"
"0003225497","00551130","月次総括表 月次総括表（四半期計） 四半期計","01","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225509","00551130","月次総括表 月次総括表（年計） 年計","01","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225535","00551130","月次総括表 月次総括表（年度計） 年度計","01","ガス事業生産動態統計調査","統計表一覧",NA,"年度次",,"2018-09-06"
"0003225536","00551130","総括表 総括表年計 年計 平成17年","01","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-07"
"0003225537","00551130","総括表 総括表年度計 年度計 平成17年度","01","ガス事業生産動態統計調査","統計表一覧",NA,"年度次",,"2018-09-07"
"0003225495","00551130","月次地区別表 月次地区別表 月次","02","ガス事業生産動態統計調査","統計表一覧",NA,"月次",,"2018-09-06"
"0003225496","00551130","月次地区別表 月次地区別表 月次","02","ガス事業生産動態統計調査","統計表一覧",NA,"月次",,"2018-09-06"
"0003225510","00551130","月次地区別表 月次地区別表（年計） 年計","02","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225511","00551130","ガス生産量及び購入量内訳 ガス生産量及び購入量内訳（月次時系列） 月次時系列","03","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-07"
"0003225517","00551130","ガス生産量及び購入量内訳 ガス生産量及び購入量内訳（四半期時系列） 四半期時系列","03","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-07"
"0003225523","00551130","ガス生産量及び購入量内訳 ガス生産量及び購入量内訳（年次時系列） 年次時系列","03","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-07"
"0003225529","00551130","ガス生産量及び購入量内訳 ガス生産量及び購入量内訳（年度次時系列） 年度次時系列","03","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-07"
"0003225512","00551130","製品ガス生産・購入・販売・在庫及び需要家メーター数 製品ガス生産・購入・販売・在庫及び需要家メーター数（月次時系列） 月次時系列","04","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225518","00551130","製品ガス生産・購入・販売・在庫及び需要家メーター数 製品ガス生産・購入・販売・在庫及び需要家メーター数（四半期時系列） 四半期時系列","04","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225524","00551130","製品ガス生産・購入・販売・在庫及び需要家メーター数 製品ガス生産・購入・販売・在庫及び需要家メーター数（年次時系列） 年次時系列","04","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225530","00551130","製品ガス生産・購入・販売・在庫及び需要家メーター数 製品ガス生産・購入・販売・在庫及び需要家メーター数（年度次時系列） 年度次時系列","04","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225513","00551130","原料 原料（月次時系列） 月次時系列","05","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225519","00551130","原料 原料（四半期時系列） 四半期時系列","05","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225525","00551130","原料 原料（年次時系列） 年次時系列","05","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225531","00551130","原料 原料（年度次時系列） 年度次時系列","05","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-06"
"0003225514","00551130","託送供給 託送供給（月次時系列） 月次時系列","06","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-07"
"0003225520","00551130","託送供給 託送供給（四半期時系列） 四半期時系列","06","ガス事業生産動態統計調査","統計表一覧",NA,"年次",,"2018-09-07"
