"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003398293","00552020","第1章　総括統計 ２．国際調査報告及び国際予備審査報告作成件数表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398294","00552020","第1章　総括統計 ３．実用新案（出願、登録及び技術評価書請求の件数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398295","00552020","【更新終了】第1章　総括統計（平成31年［2019年］まで） ４．旧実用新案（出願、審査請求、ファーストアクション、登録査定及び登録の件数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398296","00552020","第1章　総括統計 ４．意匠（出願、ファーストアクション、登録査定及び登録の件数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398298","00552020","第1章　総括統計 ６．審判及び異議申立て　（1）拒絶査定不服審判、（2）補正却下不服審判、（3）無効審判、（4）訂正審判、（5）取消審判、（6）判定","特許行政年次報告書","年次",0,"2024-11-28"
"0003398299","00552020","第1章　総括統計 ６．審判及び異議申立て　（7）異議申立て","特許行政年次報告書","年次",0,"2024-11-28"
"0003398300","00552020","第2章　主要統計 １．審査・審判の審査・審理期間　（1）審査（ﾌｧｰｽﾄｱｸｼｮﾝ期間）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398301","00552020","第2章　主要統計 １．審査・審判の審査・審理期間　（2）審判　（a）権利付与前の審判（拒絶査定不服審判）（審理期間）、（b）異議（審理期間）、（d）判定（審理期間）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398302","00552020","第2章　主要統計 １．審査・審判の審査・審理期間　（2）審判　（c）権利付与後の審判（無効審判、訂正審判、取消審判、判定）（審理期間）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398303","00552020","【更新終了】第2章　主要統計（平成27年［2015年］まで） １．審査・審判の審査・審理期間　（2）審判　（c）権利付与後の審判（無効審判、訂正審判、取消審判、判定）（審理期間）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398307","00552020","第2章　主要統計 ２．特許出願における審査請求等の推移　（2）一次審査着手前の出願の取下げ・放棄件数の推移","特許行政年次報告書","年次",0,"2024-11-28"
"0003398308","00552020","第2章　主要統計 ２．特許出願における審査請求等の推移　（3）平均請求項数の推移","特許行政年次報告書","年次",0,"2024-11-28"
"0003398312","00552020","第2章　主要統計 ３．特許出願における一次審査未着手件数","特許行政年次報告書","年次",0,"2024-11-28"
"0003398314","00552020","第2章　主要統計 ５．分類別統計表　（1）特許（出願）、（2）特許（登録）、（3）実用新案（出願）、（4）実用新案（登録）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398315","00552020","第2章　主要統計 ５．分類別統計表　（5）意匠（出願）、（6）意匠（登録）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398319","00552020","第2章　主要統計 ７．商標類型別出願・登録件数表（立体商標）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398320","00552020","第2章　主要統計 ７．商標類型別出願・登録件数表（音、動き、位置、色彩、ホログラム）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398336","00552020","第2章　主要統計 １５．都道府県別出願件数表（日本人によるもの）　（1）特許、（2）実用新案、（3）意匠、（4）商標","特許行政年次報告書","年次",0,"2024-11-28"
"0003398337","00552020","第2章　主要統計 １６．都道府県別登録件数表（日本人によるもの）　（1）特許、（2）実用新案、（3）意匠、（4）商標","特許行政年次報告書","年次",0,"2024-11-28"
"0003398338","00552020","第2章　主要統計 １７．都道府県別発明者、考案者、創作者数表　（1）特許（発明者数）、（2）実用新案（考案者数）、（3）意匠（創作者数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398339","00552020","第2章　主要統計 １８．特許庁審決・決定の取消訴訟　（1）出訴件数、（2）判決結果、（3）上告提起、上告受理申立件数、（4）上告、上告受理の結果","特許行政年次報告書","年次",0,"2024-11-28"
"0003398341","00552020","第2章　主要統計 １９．早期審査・早期審理　（1）審査、（2）審判　審査期間・審理期間","特許行政年次報告書","年次",0,"2024-11-28"
"0003398342","00552020","第2章　主要統計 ２０．現存権利関係統計表　（1）内外国人別現存権利件数表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398349","00552020","第2章　主要統計 ２３．公報掲載件数（公報掲載件数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398350","00552020","【更新終了】第2章　主要統計（平成27年［2015年］まで） ２２．公報掲載件数（公報発行回数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398425","00552020","第3章　国際出願関係統計 １．国際出願（PCT出願）及び国際予備審査請求件数表（受理官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398426","00552020","第3章　国際出願関係統計 ２．出願人別及び代理人有無別国際出願（PCT出願）件数表（受理官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398427","00552020","第3章　国際出願関係統計 ３．都道府県別・国籍別国際出願（PCT出願）件数表（受理官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398428","00552020","第3章　国際出願関係統計 ４．日本を指定国とする国際出願（PCT出願）に係る国内書面受理件数表（指定官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398429","00552020","第3章　国際出願関係統計 ５．DO出願分類別・国内書面受付年別出願件数表（特許）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398430","00552020","第3章　国際出願関係統計 ６．DO出願分類別・国内書面受付年別審査請求件数表（特許）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398434","00552020","第3章　国際出願関係統計 ９．国際出願（意匠）に係る件数表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398435","00552020","第3章　国際出願関係統計 １０．国際意匠登録出願に係る件数表（指定官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398436","00552020","第3章　国際出願関係統計 １１．分類別国際意匠登録出願件数表（指定官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398437","00552020","第3章　国際出願関係統計 １２．国際登録出願（商標）件数表（本国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398438","00552020","第3章　国際出願関係統計 １３．出願人別及び代理人有無別国際登録出願（商標）件数表（本国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398439","00552020","第3章　国際出願関係統計 １４．都道府県別国際登録出願（商標）件数表（本国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398440","00552020","第3章　国際出願関係統計 １５．指定国別国際登録出願（商標）件数表（本国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398441","00552020","【更新終了】第3章　国際出願関係統計（平成31年［2019年］まで） １６．類別国際登録出願区分（商標）件数表（本国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398442","00552020","第3章　国際出願関係統計 １６．国際商標登録出願に係る件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398443","00552020","第3章　国際出願関係統計 １７．日本を指定国とする本国官庁別国際商標登録出願件数表（指定国官庁：指定通報件数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398444","00552020","第3章　国際出願関係統計 １８．類別国際商標登録出願区分件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398445","00552020","第3章　国際出願関係統計 １９．日本を指定国とした国際商標登録出願に係る本国官庁別登録件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398446","00552020","第3章　国際出願関係統計 ２０．日本を指定国とした国際商標登録出願に係る出願種別登録件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398447","00552020","第3章　国際出願関係統計 ２１．分類別国際商標登録区分件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398456","00552020","第4章　主要国・地域・機関に関する統計 ３．主要国・地域・機関の外国人登録の内訳表　（1）日本における国籍・地域別登録件数表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398460","00552020","付録２　予算・機構・定員関係資料 １．歳入歳出累年表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398461","00552020","付録２　予算・機構・定員関係資料 ２．歳入予算に関する統計表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398462","00552020","付録２　予算・機構・定員関係資料 ３．歳出予算事項に関する統計表　（1）事項別歳出予算","特許行政年次報告書","年次",0,"2024-11-28"
"0003398463","00552020","付録２　予算・機構・定員関係資料 ４．特許庁定員推移表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398464","00552020","付録３　その他統計・資料 ３．弁理士登録状況　（1）弁理士登録及び登録抹消人数累計表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398465","00552020","付録３　その他統計・資料 ３．弁理士登録状況　（2）都道府県別弁理士登録人数表","特許行政年次報告書","年次",0,"2024-11-28"
